Index,Salary,Salary_Type,Location,Website,Scrape Date
6+Sigma+Black+Belt,"114,831",Annually,US,Talent.com,2023-11-30
6+Sigma+Black+Belt+Specialist,"132,815",Annually,US,Talent.com,2023-11-30
6th+Grade+Teacher,"58,295",Annually,US,Talent.com,2023-11-30
7.5+Ton+Driver,"41,600",Annually,US,Talent.com,2023-11-30
74D+Chemical+Specialist,"50,000",Annually,US,Talent.com,2023-11-30
7th+Grade+Teacher,"57,000",Annually,US,Talent.com,2023-11-30
8th+Grade+Teacher,"58,500",Annually,US,Talent.com,2023-11-30
911+Agent,"111,795",Annually,US,Talent.com,2023-11-30
911+Assistant,"48,750",Annually,US,Talent.com,2023-11-30
911+Call+Taker,"46,665",Annually,US,Talent.com,2023-11-30
911+Call+Taker+Trainee,"37,230",Annually,US,Talent.com,2023-11-30
911+Communications+Dispatcher,"44,187",Annually,US,Talent.com,2023-11-30
911+Communications+Manager,"91,000",Annually,US,Talent.com,2023-11-30
911+Dispatch+Supervisor,"73,039",Annually,US,Talent.com,2023-11-30
911+Dispatcher,"44,145",Annually,US,Talent.com,2023-11-30
911+Emergency+Communications+Specialist,"54,815",Annually,US,Talent.com,2023-11-30
911+Emergency+Dispatcher,"42,993",Annually,US,Talent.com,2023-11-30
911+Emergency+Operator,"52,000",Annually,US,Talent.com,2023-11-30
911+Emergency+Services+Dispatcher,"41,103",Annually,US,Talent.com,2023-11-30
911+EMS+Dispatcher,"50,244",Annually,US,Talent.com,2023-11-30
911+Fire+Dispatcher,"45,220",Annually,US,Talent.com,2023-11-30
911+Operator,"52,052",Annually,US,Talent.com,2023-11-30
911+Paramedic+Dispatcher,"59,807",Annually,US,Talent.com,2023-11-30
911+Police+Dispatcher,"48,339",Annually,US,Talent.com,2023-11-30
911+Public+Safety+Dispatcher,"47,932",Annually,US,Talent.com,2023-11-30
911+Telecommunicator,"40,172",Annually,US,Talent.com,2023-11-30
9th+Grade+Teacher,"55,000",Annually,US,Talent.com,2023-11-30
AAA+Tow+Truck+Driver,"34,125",Annually,US,Talent.com,2023-11-30
AB+Deckhand,"72,500",Annually,US,Talent.com,2023-11-30
AB+Electrician,"82,631",Annually,US,Talent.com,2023-11-30
AB+Engineer,"130,600",Annually,US,Talent.com,2023-11-30
AB+Seaman,"46,313",Annually,US,Talent.com,2023-11-30
AB+Welder,"43,285",Annually,US,Talent.com,2023-11-30
ABA+Behavior+Analyst,"72,740",Annually,US,Talent.com,2023-11-30
ABA+Behavioral+Therapist,"41,925",Annually,US,Talent.com,2023-11-30
ABA+Counselor,"43,875",Annually,US,Talent.com,2023-11-30
ABA+Direct+Service+Provider,"58,500",Annually,US,Talent.com,2023-11-30
ABA+Home+Therapist,"41,925",Annually,US,Talent.com,2023-11-30
ABA+Instructor,"42,117",Annually,US,Talent.com,2023-11-30
ABA+Line+Therapist,"35,100",Annually,US,Talent.com,2023-11-30
ABA+Program+Coordinator,"77,649",Annually,US,Talent.com,2023-11-30
ABA+Program+Instructor,"35,000",Annually,US,Talent.com,2023-11-30
ABA+Program+Manager,"62,500",Annually,US,Talent.com,2023-11-30
