Job_Title,Salary,Salary_Type,Location,Website,Scrape Date
brand-manager,"72,341",Annually,US,Zengig,30-11-2023
budget-manager,"72,899",Annually,US,Zengig,30-11-2023
bus-driver,"30,382",Annually,US,Zengig,30-11-2023
business-analyst,"72,772",Annually,US,Zengig,30-11-2023
business-development-manager,"70,958",Annually,US,Zengig,30-11-2023
business-intelligence-analyst,"86,559",Annually,US,Zengig,30-11-2023
business-systems-analyst,"79,994",Annually,US,Zengig,30-11-2023
c++-developer,"97,200",Annually,US,Zengig,30-11-2023
cable-installation-technician,"41,605",Annually,US,Zengig,30-11-2023
cable-installer,"41,605",Annually,US,Zengig,30-11-2023
cad-designer,"43,366",Annually,US,Zengig,30-11-2023
cad-drafter,"43,066",Annually,US,Zengig,30-11-2023
call-center-data-entry-specialist,"31,280",Annually,US,Zengig,30-11-2023
call-center-manager,"63,610",Annually,US,Zengig,30-11-2023
call-center-operations-manager,"48,462",Annually,US,Zengig,30-11-2023
call-center-representative,"30,492",Annually,US,Zengig,30-11-2023
car-salesman,"48,469",Annually,US,Zengig,30-11-2023
cardiac-sonographer,"67,547",Annually,US,Zengig,30-11-2023
cardiologist,"2,89,956",Annually,US,Zengig,30-11-2023
cardiothoracic-surgeon,"3,11,669",Annually,US,Zengig,30-11-2023
caregiver,"27,700",Annually,US,Zengig,30-11-2023
carpenter,"40,995",Annually,US,Zengig,30-11-2023
case-manager,"36,323",Annually,US,Zengig,30-11-2023
certified-medical-assistant,"30,085",Annually,US,Zengig,30-11-2023
certified-nursing-assistant,"37,569",Annually,US,Zengig,30-11-2023
certified-public-accountant,"78,620",Annually,US,Zengig,30-11-2023
certified-registered-nurse-anesthetist,"1,01,720",Annually,US,Zengig,30-11-2023
certified-respiratory-therapist,"57,078",Annually,US,Zengig,30-11-2023
chef,"40,046",Annually,US,Zengig,30-11-2023
chemical-engineer,"90,294",Annually,US,Zengig,30-11-2023
chemist,"50,496",Annually,US,Zengig,30-11-2023
chief-executive-officer,"1,07,469",Annually,US,Zengig,30-11-2023
chief-financial-officer,"1,33,496",Annually,US,Zengig,30-11-2023
chief-human-resources-officer,"1,25,225",Annually,US,Zengig,30-11-2023
chief-information-officer,"1,47,644",Annually,US,Zengig,30-11-2023
chief-information-security-officer,"1,29,378",Annually,US,Zengig,30-11-2023
chief-marketing-officer,"1,09,428",Annually,US,Zengig,30-11-2023
chief-of-staff,"85,750",Annually,US,Zengig,30-11-2023
chief-operating-officer,"1,56,701",Annually,US,Zengig,30-11-2023
chief-technology-officer,"1,26,570",Annually,US,Zengig,30-11-2023
child-life-specialist,"40,013",Annually,US,Zengig,30-11-2023
chiropractor,"65,188",Annually,US,Zengig,30-11-2023
civil-engineer,"92,349",Annually,US,Zengig,30-11-2023
claims-adjuster,"41,530",Annually,US,Zengig,30-11-2023
claims-examiner,"49,849",Annually,US,Zengig,30-11-2023
clinical-data-manager,"73,607",Annually,US,Zengig,30-11-2023
clinical-psychologist,"76,440",Annually,US,Zengig,30-11-2023
clinical-research-associate,"67,082",Annually,US,Zengig,30-11-2023
cloud-architect,"96,692",Annually,US,Zengig,30-11-2023
cloud-engineer,"94,462",Annually,US,Zengig,30-11-2023
