Job_title,Salary,Salary_Frequency,Location,Source,Scrape_Date
"Field Service Representative- Mckinney, TX",,Annual,"McKinney, TX",USNEWS.com,2023-12-01
Customer Service Representative,"40,000 - 60,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Service Assistant,"40,000 - 50,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Customer Service Representative,"31,000 - 42,000",Annual,"Farmers Branch, TX",USNEWS.com,2023-12-01
In-Person Customer Care /Sales Representative (Z),,Annual,"Carrollton, TX",USNEWS.com,2023-12-01
"Account Coordinator, Servicing","39,500 - 51,500",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Customer Service Representative,"29,500 - 40,000",Annual,"Coppell, TX",USNEWS.com,2023-12-01
Customer Service Rep - WFH after Training,"30,000 - 30,000",Annual,"Lewisville, TX",USNEWS.com,2023-12-01
Customer Success Administrator,"50,000 - 60,000",Annual,"Farmers Branch, TX",USNEWS.com,2023-12-01
Client Service Associate,"20,000 - 30,000",Annual,"Allen, TX",USNEWS.com,2023-12-01
Bilingual (Spanish) Customer Service Specialist - Remote Work,"33,300 - 33,300",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Client Advisor - Legacy West,,Annual,"Plano, TX",USNEWS.com,2023-12-01
CSR Remote,"4,750 - 5,125",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Experienced Contact Center Supervisor,"30,000 - 40,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Service Manager (Powersports),,Annual,"Forney, TX",USNEWS.com,2023-12-01
Restaurant Expeditor - Service Assistant,"20,000 - 22,000",Annual,"Frisco, TX",USNEWS.com,2023-12-01
Client Accounting Assistant (Remote),"38,500 - 50,500",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Sr. Salesforce Administrator,"50,000 - 50,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Midstream Services Representative,,Annual,"Dallas, TX",USNEWS.com,2023-12-01
Customer Service Representative (10am - 7pm Shift),"30,500 - 41,500",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Customer Service and Sales Representative,"45,000 - 65,000",Annual,"Irving, TX",USNEWS.com,2023-12-01
Customer Service Email Representative,"29,500 - 40,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
PBM Customer Service Representative,"29,500 - 40,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Veterinary Customer Service Representative,"29,500 - 40,500",Annual,"Rockwall, TX",USNEWS.com,2023-12-01
Client Engagement Specialist,,Annual,"Rockwall, TX",USNEWS.com,2023-12-01
Customer Support Representative,"29,500 - 40,500",Annual,"Coppell, TX",USNEWS.com,2023-12-01
Customer Service Representative,"42,000 - 42,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Contact Center Representative,"20,000 - 30,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Facility Service Coordinator,"45,000 - 50,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
1st Shift- Customer Service Representative,"32,000 - 32,000",Annual,"Grand Prairie, TX",USNEWS.com,2023-12-01
Appointment Setter,,Annual,"Grand Prairie, TX",USNEWS.com,2023-12-01
Customer Service Representative,"30,000 - 34,000",Annual,"Lewisville, TX",USNEWS.com,2023-12-01
Flooring Field Customer Service Technician,,Annual,"The Colony, TX",USNEWS.com,2023-12-01
Shipping Clerk I - Manufacturing,"35,000 - 35,000",Annual,"Richardson, TX",USNEWS.com,2023-12-01
Claims Customer Service Agent,,Annual,"Irving, TX",USNEWS.com,2023-12-01
Bilingual Consumer Customer Service,"42,000 - 48,000",Annual,"Irving, TX",USNEWS.com,2023-12-01
Customer Service Agent,"28,000 - 28,000",Annual,"Garland, TX",USNEWS.com,2023-12-01
Licensed Bilingual Customer Service (English-Spanish),"42,000 - 42,000",Annual,"Plano, TX",USNEWS.com,2023-12-01
Shipping and Receiving Clerk,"33,000 - 38,500",Annual,"Addison, TX",USNEWS.com,2023-12-01
Shipping Receiving Associate,"34,000 - 40,000",Annual,"Richardson, TX",USNEWS.com,2023-12-01
Call Center Supervisor,"80,000 - 90,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Customer Service Representative,"31,500 - 43,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Customer Service Support,"45,000 - 45,000",Annual,"Plano, TX",USNEWS.com,2023-12-01
Administrative Assistant,"60,000 - 63,000",Annual,"Richardson, TX",USNEWS.com,2023-12-01
Operations Specialist,"38,500 - 44,000",Annual,"Richardson, TX",USNEWS.com,2023-12-01
Call Center Agent,"28,000 - 50,000",Annual,"Richardson, TX",USNEWS.com,2023-12-01
Customer Relations Manager - Multifamily Experience Required,"55,000 - 55,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Customer Service Specialist,"32,000 - 42,000",Annual,"Plano, TX",USNEWS.com,2023-12-01
Sales Coordinator,"36,000 - 36,000",Annual,"Frisco, TX",USNEWS.com,2023-12-01
Cat Care Specialist,"1,200 - 12,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Customer Service Associate,"30,000 - 30,000",Annual,"McKinney, TX",USNEWS.com,2023-12-01
Customer Service Agent,"38,000 - 40,000",Annual,"Carrollton, TX",USNEWS.com,2023-12-01
Nutrition Services Specialist,,Annual,"Dallas, TX",USNEWS.com,2023-12-01
Client Service Manager,,Annual,"Dallas, TX",USNEWS.com,2023-12-01
Bilingual Member Support Specialist,"33,500 - 43,500",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Client Services Admin,,Annual,"Richardson, TX",USNEWS.com,2023-12-01
Sales Coordinator,"35,000 - 48,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Healthcare Customer Service Representative - DAL,"31,000 - 42,000",Annual,"Addison, TX",USNEWS.com,2023-12-01
Customer Service Representative,"36,000 - 44,000",Annual,"Flower Mound, TX",USNEWS.com,2023-12-01
Assistant Service Manager (Property Management),"42,000 - 54,000",Annual,"Carrollton, TX",USNEWS.com,2023-12-01
Sales Support Coordinator,"39,500 - 53,500",Annual,"Carrollton, TX",USNEWS.com,2023-12-01
Logistics Warranty Clerk,"34,000 - 38,000",Annual,"Lewisville, TX",USNEWS.com,2023-12-01
Customer Service Specialist - ROI- Bilingual,"30,000 - 36,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Bilingual Member Experience Associate - Dallas,"36,000 - 44,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Customer Service Representative - January 8th Start Date,,Annual,"Dallas, TX",USNEWS.com,2023-12-01
Manufacturing Customer Service Representative,"30,000 - 40,500",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Customer Service Rep.,"29,000 - 39,500",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Client Success Representative,"40,000 - 48,000",Annual,"The Colony, TX",USNEWS.com,2023-12-01
Customer Service Rep,"30,000 - 30,000",Annual,"Euless, TX",USNEWS.com,2023-12-01
Client Services Specialist,"33,500 - 44,500",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Customer Service Representative,"29,000 - 39,500",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Customer Experience Specialist (Leasing/Customer Service),"32,000 - 42,000",Annual,"Frisco, TX",USNEWS.com,2023-12-01
Work From Home-Customer Service Representative,"31,500 - 43,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Shipping/Receiving Specialist,"32,000 - 38,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Sales Support,"33,500 - 44,000",Annual,"Garland, TX",USNEWS.com,2023-12-01
Customer Support Community Ambassador,"36,000 - 36,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Customer Experience Specialist,"32,000 - 38,000",Annual,"Allen, TX",USNEWS.com,2023-12-01
