Job_title,Salary,Salary_Frequency,Location,Source,Scrape_Date
Aviation Inspector,79k,Annual,US,CareerExplorer.com,2023-12-01
Aviation Manager,N/A,Annual,US,CareerExplorer.com,2023-12-01
Avionics Technician,69k,Annual,US,CareerExplorer.com,2023-12-01
Back-End Developer,67k,Annual,US,CareerExplorer.com,2023-12-01
Bailiff,48k,Annual,US,CareerExplorer.com,2023-12-01
Baker,29k,Annual,US,CareerExplorer.com,2023-12-01
Bank Manager,131k,Annual,US,CareerExplorer.com,2023-12-01
Barber,N/A,Annual,US,CareerExplorer.com,2023-12-01
Barista,24k,Annual,US,CareerExplorer.com,2023-12-01
Bartender,26k,Annual,US,CareerExplorer.com,2023-12-01
Beekeeper,28k,Annual,US,CareerExplorer.com,2023-12-01
Behavioral Scientist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Bespoke Shoemaker,N/A,Annual,US,CareerExplorer.com,2023-12-01
Biochemical Engineer,100k,Annual,US,CareerExplorer.com,2023-12-01
Biochemist,102k,Annual,US,CareerExplorer.com,2023-12-01
Biofuel Engineer,N/A,Annual,US,CareerExplorer.com,2023-12-01
Biofuels Production Manager,103k,Annual,US,CareerExplorer.com,2023-12-01
Bioinformatics Scientist,82k,Annual,US,CareerExplorer.com,2023-12-01
Biologist,82k,Annual,US,CareerExplorer.com,2023-12-01
Biomass Plant Technician,50k,Annual,US,CareerExplorer.com,2023-12-01
Biomass Power Plant Manager,103k,Annual,US,CareerExplorer.com,2023-12-01
Biomedical Engineer,97k,Annual,US,CareerExplorer.com,2023-12-01
Biomedical Scientist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Biophysicist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Biostatistician,95k,Annual,US,CareerExplorer.com,2023-12-01
Biotechnician,48k,Annual,US,CareerExplorer.com,2023-12-01
Biotechnologist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Bird Trainer,N/A,Annual,US,CareerExplorer.com,2023-12-01
Blockchain Developer,N/A,Annual,US,CareerExplorer.com,2023-12-01
Blogger,25k,Annual,US,CareerExplorer.com,2023-12-01
Blue Teamer,N/A,Annual,US,CareerExplorer.com,2023-12-01
Bodyguard,N/A,Annual,US,CareerExplorer.com,2023-12-01
Boilermaker,64k,Annual,US,CareerExplorer.com,2023-12-01
Booking Agent,N/A,Annual,US,CareerExplorer.com,2023-12-01
Bookkeeper,45k,Annual,US,CareerExplorer.com,2023-12-01
Botanist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Braille Transcriber,N/A,Annual,US,CareerExplorer.com,2023-12-01
Brewmaster,46k,Annual,US,CareerExplorer.com,2023-12-01
Brickmason,59k,Annual,US,CareerExplorer.com,2023-12-01
Bridal Makeup Artist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Broadcast Engineer,44k,Annual,US,CareerExplorer.com,2023-12-01
Budget Analyst,79k,Annual,US,CareerExplorer.com,2023-12-01
Building Inspector,61k,Annual,US,CareerExplorer.com,2023-12-01
Bus Driver,42k,Annual,US,CareerExplorer.com,2023-12-01
Business Analyst,93k,Annual,US,CareerExplorer.com,2023-12-01
Butcher,36k,Annual,US,CareerExplorer.com,2023-12-01
Buyer,N/A,Annual,US,CareerExplorer.com,2023-12-01
Cabinetmaker,37k,Annual,US,CareerExplorer.com,2023-12-01
Cake Designer,22k,Annual,US,CareerExplorer.com,2023-12-01
Calligrapher,61k,Annual,US,CareerExplorer.com,2023-12-01
Camera Operator,49k,Annual,US,CareerExplorer.com,2023-12-01
Cardiologist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Cardiothoracic Surgeon,255k,Annual,US,CareerExplorer.com,2023-12-01
Cardiovascular Technologist and Technician,60k,Annual,US,CareerExplorer.com,2023-12-01
Career Counselor,41k,Annual,US,CareerExplorer.com,2023-12-01
Cargo and Freight Agent,46k,Annual,US,CareerExplorer.com,2023-12-01
Carpenter,48k,Annual,US,CareerExplorer.com,2023-12-01
Car Salesman,35k,Annual,US,CareerExplorer.com,2023-12-01
Cartographer,68k,Annual,US,CareerExplorer.com,2023-12-01
Cartoonist,29k,Annual,US,CareerExplorer.com,2023-12-01
Cashier,27k,Annual,US,CareerExplorer.com,2023-12-01
Casting Director,79k,Annual,US,CareerExplorer.com,2023-12-01
Cataloging Librarian,N/A,Annual,US,CareerExplorer.com,2023-12-01
Caterer,28k,Annual,US,CareerExplorer.com,2023-12-01
Celebrity Hairdresser,N/A,Annual,US,CareerExplorer.com,2023-12-01
Celebrity Makeup Artist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Cellular Biologist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Cement Mason,47k,Annual,US,CareerExplorer.com,2023-12-01
CEO,87k,Annual,US,CareerExplorer.com,2023-12-01
Certified Crop Advisor,49k,Annual,US,CareerExplorer.com,2023-12-01
Certified Nurse Midwife,N/A,Annual,US,CareerExplorer.com,2023-12-01
Certified Nursing Assistant,N/A,Annual,US,CareerExplorer.com,2023-12-01
CFO,99k,Annual,US,CareerExplorer.com,2023-12-01
Chemical Engineer,105k,Annual,US,CareerExplorer.com,2023-12-01
Chemical Technician,48k,Annual,US,CareerExplorer.com,2023-12-01
Chemist,79k,Annual,US,CareerExplorer.com,2023-12-01
Chicken Sexer,N/A,Annual,US,CareerExplorer.com,2023-12-01
Chief Executive,179k,Annual,US,CareerExplorer.com,2023-12-01
Child and Adolescent Counselor,N/A,Annual,US,CareerExplorer.com,2023-12-01
Childcare Program Administrator,47k,Annual,US,CareerExplorer.com,2023-12-01
Childcare Worker,27k,Annual,US,CareerExplorer.com,2023-12-01
Child Psychologist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Chiropractic Neurologist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Chiropractic Radiologist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Chiropractic Rehabilitation Specialist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Chiropractor,75k,Annual,US,CareerExplorer.com,2023-12-01
Chocolate Cake Designer,N/A,Annual,US,CareerExplorer.com,2023-12-01
Chocolatier,N/A,Annual,US,CareerExplorer.com,2023-12-01
Choir Director,N/A,Annual,US,CareerExplorer.com,2023-12-01
Choreographer,42k,Annual,US,CareerExplorer.com,2023-12-01
Cinematographer,40k,Annual,US,CareerExplorer.com,2023-12-01
CIO,N/A,Annual,US,CareerExplorer.com,2023-12-01
Circus Animal Trainer,N/A,Annual,US,CareerExplorer.com,2023-12-01
Circus Performer,N/A,Annual,US,CareerExplorer.com,2023-12-01
CISO,N/A,Annual,US,CareerExplorer.com,2023-12-01
Civil Engineer,88k,Annual,US,CareerExplorer.com,2023-12-01
Civil Engineering Technician,N/A,Annual,US,CareerExplorer.com,2023-12-01
Clergy Member,49k,Annual,US,CareerExplorer.com,2023-12-01
Climate Change Analyst,76k,Annual,US,CareerExplorer.com,2023-12-01
Clinical Ethicist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Clinical Nurse Specialist,77k,Annual,US,CareerExplorer.com,2023-12-01
Clinical Psychologist,79k,Annual,US,CareerExplorer.com,2023-12-01
Clinical Research Coordinator,137k,Annual,US,CareerExplorer.com,2023-12-01
Clown,N/A,Annual,US,CareerExplorer.com,2023-12-01
CMS Developer,N/A,Annual,US,CareerExplorer.com,2023-12-01
Coach,26k,Annual,US,CareerExplorer.com,2023-12-01
Coastal Engineer,N/A,Annual,US,CareerExplorer.com,2023-12-01
Coffee Roaster,N/A,Annual,US,CareerExplorer.com,2023-12-01
Colorectal Surgeon,255k,Annual,US,CareerExplorer.com,2023-12-01
Comedian,31k,Annual,US,CareerExplorer.com,2023-12-01
Command and Control Center Specialist,37k,Annual,US,CareerExplorer.com,2023-12-01
Commercial Architect,N/A,Annual,US,CareerExplorer.com,2023-12-01
Commercial Artist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Commercial Diver,60k,Annual,US,CareerExplorer.com,2023-12-01
Commercial Fisherman,37k,Annual,US,CareerExplorer.com,2023-12-01
Commercial Interior Designer,N/A,Annual,US,CareerExplorer.com,2023-12-01
Commercial Photographer,N/A,Annual,US,CareerExplorer.com,2023-12-01
Commercial Pilot,99k,Annual,US,CareerExplorer.com,2023-12-01
Community Health Worker,46k,Annual,US,CareerExplorer.com,2023-12-01
Community Librarian,N/A,Annual,US,CareerExplorer.com,2023-12-01
Compensation and Benefits Manager,127k,Annual,US,CareerExplorer.com,2023-12-01
Compliance Manager,124k,Annual,US,CareerExplorer.com,2023-12-01
Composer,49k,Annual,US,CareerExplorer.com,2023-12-01
Computer and Information Research Scientist,118k,Annual,US,CareerExplorer.com,2023-12-01
Computer Engineer,N/A,Annual,US,CareerExplorer.com,2023-12-01
Computer Hardware Engineer,128k,Annual,US,CareerExplorer.com,2023-12-01
Computer Programmer,85k,Annual,US,CareerExplorer.com,2023-12-01
Computer Repair Technician,47k,Annual,US,CareerExplorer.com,2023-12-01
Computer Scientist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Concierge,35k,Annual,US,CareerExplorer.com,2023-12-01
Concrete Worker,N/A,Annual,US,CareerExplorer.com,2023-12-01
Conductor,49k,Annual,US,CareerExplorer.com,2023-12-01
Conservation Biologist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Conservation Scientist,63k,Annual,US,CareerExplorer.com,2023-12-01
Construction Engineer,N/A,Annual,US,CareerExplorer.com,2023-12-01
Construction Manager,98k,Annual,US,CareerExplorer.com,2023-12-01
Construction Worker,37k,Annual,US,CareerExplorer.com,2023-12-01
Consultant,76k,Annual,US,CareerExplorer.com,2023-12-01
Content Manager,39k,Annual,US,CareerExplorer.com,2023-12-01
Content Writer,N/A,Annual,US,CareerExplorer.com,2023-12-01
Contortionist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Control Engineer,N/A,Annual,US,CareerExplorer.com,2023-12-01
Controller,71k,Annual,US,CareerExplorer.com,2023-12-01
COO,79k,Annual,US,CareerExplorer.com,2023-12-01
Copywriter,69k,Annual,US,CareerExplorer.com,2023-12-01
Coroner,71k,Annual,US,CareerExplorer.com,2023-12-01
Correctional Officer,47k,Annual,US,CareerExplorer.com,2023-12-01
Correspondent,N/A,Annual,US,CareerExplorer.com,2023-12-01
Cosmetologist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Cost Estimator,65k,Annual,US,CareerExplorer.com,2023-12-01
Costume Attendant,47k,Annual,US,CareerExplorer.com,2023-12-01
Costume Designer,26k,Annual,US,CareerExplorer.com,2023-12-01
Counseling Psychologist,79k,Annual,US,CareerExplorer.com,2023-12-01
Counselor,55k,Annual,US,CareerExplorer.com,2023-12-01
Courier,33k,Annual,US,CareerExplorer.com,2023-12-01
Court Reporter,57k,Annual,US,CareerExplorer.com,2023-12-01
Craft Artist,35k,Annual,US,CareerExplorer.com,2023-12-01
Crane Operator,62k,Annual,US,CareerExplorer.com,2023-12-01
Credit Analyst,77k,Annual,US,CareerExplorer.com,2023-12-01
Credit Counselor,47k,Annual,US,CareerExplorer.com,2023-12-01
Criminologist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Critical Care Nurse,N/A,Annual,US,CareerExplorer.com,2023-12-01
Crocodile Wrangler,N/A,Annual,US,CareerExplorer.com,2023-12-01
Crop Farmer,N/A,Annual,US,CareerExplorer.com,2023-12-01
Cryptanalyst,N/A,Annual,US,CareerExplorer.com,2023-12-01
Cryptographer,N/A,Annual,US,CareerExplorer.com,2023-12-01
CTE Teacher,N/A,Annual,US,CareerExplorer.com,2023-12-01
Culinary Chef,50k,Annual,US,CareerExplorer.com,2023-12-01
Curator,60k,Annual,US,CareerExplorer.com,2023-12-01
Customer Service Representative,36k,Annual,US,CareerExplorer.com,2023-12-01
Customer Success Manager,46k,Annual,US,CareerExplorer.com,2023-12-01
Customs Broker,74k,Annual,US,CareerExplorer.com,2023-12-01
Customs Inspector,83k,Annual,US,CareerExplorer.com,2023-12-01
Cybercrime Investigator,N/A,Annual,US,CareerExplorer.com,2023-12-01
Cytogenetic Technologist,61k,Annual,US,CareerExplorer.com,2023-12-01
Cytotechnologist,61k,Annual,US,CareerExplorer.com,2023-12-01
Dairy Farmer,26k,Annual,US,CareerExplorer.com,2023-12-01
Dairy Herdsperson,N/A,Annual,US,CareerExplorer.com,2023-12-01
Dairy Scientist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Dancer,39k,Annual,US,CareerExplorer.com,2023-12-01
Data Analyst,44k,Annual,US,CareerExplorer.com,2023-12-01
Database Administrator,83k,Annual,US,CareerExplorer.com,2023-12-01
Database Architect,90k,Annual,US,CareerExplorer.com,2023-12-01
Data Engineer,N/A,Annual,US,CareerExplorer.com,2023-12-01
Data Scientist,87k,Annual,US,CareerExplorer.com,2023-12-01
Debt Collector,37k,Annual,US,CareerExplorer.com,2023-12-01
Delivery Service Driver,38k,Annual,US,CareerExplorer.com,2023-12-01
Dental Assistant,38k,Annual,US,CareerExplorer.com,2023-12-01
Dental Hygienist,74k,Annual,US,CareerExplorer.com,2023-12-01
Dental Laboratory Technician,N/A,Annual,US,CareerExplorer.com,2023-12-01
Dentist,160k,Annual,US,CareerExplorer.com,2023-12-01
Dermatologist,200k,Annual,US,CareerExplorer.com,2023-12-01
Derrick Operator,47k,Annual,US,CareerExplorer.com,2023-12-01
Desktop Publisher,46k,Annual,US,CareerExplorer.com,2023-12-01
Detective,83k,Annual,US,CareerExplorer.com,2023-12-01
Developmental Biologist,N/A,Annual,US,CareerExplorer.com,2023-12-01
DevOps Developer,N/A,Annual,US,CareerExplorer.com,2023-12-01
Diagnostic Medical Sonographer,77k,Annual,US,CareerExplorer.com,2023-12-01
Diesel Mechanic,N/A,Annual,US,CareerExplorer.com,2023-12-01
Dietetic Technician,29k,Annual,US,CareerExplorer.com,2023-12-01
Digital Archivist,N/A,Annual,US,CareerExplorer.com,2023-12-01
Digital Forensics Analyst,N/A,Annual,US,CareerExplorer.com,2023-12-01
Digital Marketing Specialist,39k,Annual,US,CareerExplorer.com,2023-12-01
Digital Remastering Engineer,N/A,Annual,US,CareerExplorer.com,2023-12-01
Diplomat,N/A,Annual,US,CareerExplorer.com,2023-12-01
Director of Talent Aquisition,N/A,Annual,US,CareerExplorer.com,2023-12-01
Disaster Recovery Specialist,40k,Annual,US,CareerExplorer.com,2023-12-01
Distance Learning Coordinator,90k,Annual,US,CareerExplorer.com,2023-12-01
DJ,27k,Annual,US,CareerExplorer.com,2023-12-01
Doctor,105k,Annual,US,CareerExplorer.com,2023-12-01
