Job_title,Annual_salary,Salary Frequency,Location,Source,Scrape_date
market-research-analyst,#N/A,Annual,US,Builtin,2023-11-30
marketing-analyst,"$81,515",Annual,US,Builtin,2023-11-30
marketing-assistant,"$55,139",Annual,US,Builtin,2023-11-30
marketing-associate,"$61,098",Annual,US,Builtin,2023-11-30
marketing-coordinator,#N/A,Annual,US,Builtin,2023-11-30
marketing-manager,"$92,774",Annual,US,Builtin,2023-11-30
marketing-operations-manager,"$96,481",Annual,US,Builtin,2023-11-30
marketing-project-manager,"$89,317",Annual,US,Builtin,2023-11-30
marketing-specialist,"$87,005",Annual,US,Builtin,2023-11-30
network-engineer,"$86,626",Annual,US,Builtin,2023-11-30
office-manager,#N/A,Annual,US,Builtin,2023-11-30
operations-associate,"$61,174",Annual,US,Builtin,2023-11-30
operations-manager,#N/A,Annual,US,Builtin,2023-11-30
power-bi-developer,"$100,015",Annual,US,Builtin,2023-11-30
principal-software-engineer,"$171,159",Annual,US,Builtin,2023-11-30
product-analyst,"$79,188",Annual,US,Builtin,2023-11-30
product-designer,#N/A,Annual,US,Builtin,2023-11-30
product-manager,#N/A,Annual,US,Builtin,2023-11-30
product-marketing-manager,"$118,331",Annual,US,Builtin,2023-11-30
product-owner,"$106,981",Annual,US,Builtin,2023-11-30
project-coordinator,"$65,361",Annual,US,Builtin,2023-11-30
project-manager,"$96,019",Annual,US,Builtin,2023-11-30
public-relations-manager,"$84,591",Annual,US,Builtin,2023-11-30
public-relations-specialist,"$61,215",Annual,US,Builtin,2023-11-30
python-developer,"$114,144",Annual,US,Builtin,2023-11-30
qa-analyst,#N/A,Annual,US,Builtin,2023-11-30
qa-engineer,"$99,012",Annual,US,Builtin,2023-11-30
qa-manager,"$131,012",Annual,US,Builtin,2023-11-30
quant-developer,"$196,161",Annual,US,Builtin,2023-11-30
react-developer,"$99,184",Annual,US,Builtin,2023-11-30
recruiter,#N/A,Annual,US,Builtin,2023-11-30
robotics-engineer,"$127,090",Annual,US,Builtin,2023-11-30
rpa-developer,"$89,414",Annual,US,Builtin,2023-11-30
sales-associate,"$70,715",Annual,US,Builtin,2023-11-30
sales-coordinator,"$60,867",Annual,US,Builtin,2023-11-30
sales-development-representative,"$57,836",Annual,US,Builtin,2023-11-30
sales-director,#N/A,Annual,US,Builtin,2023-11-30
sales-engineer,"$127,004",Annual,US,Builtin,2023-11-30
sales-manager,#N/A,Annual,US,Builtin,2023-11-30
sales-operations-analyst,"$70,113",Annual,US,Builtin,2023-11-30
sales-operations-manager,"$106,220",Annual,US,Builtin,2023-11-30
salesforce-developer,"$113,431",Annual,US,Builtin,2023-11-30
scrum-master,"$108,026",Annual,US,Builtin,2023-11-30
security-engineer,"$129,112",Annual,US,Builtin,2023-11-30
senior-accountant,"$92,541",Annual,US,Builtin,2023-11-30
senior-business-analyst,#N/A,Annual,US,Builtin,2023-11-30
senior-data-analyst,"$102,197",Annual,US,Builtin,2023-11-30
senior-data-engineer,"$137,830",Annual,US,Builtin,2023-11-30
senior-data-scientist,#N/A,Annual,US,Builtin,2023-11-30
senior-financial-analyst,"$105,249",Annual,US,Builtin,2023-11-30
senior-graphic-designer,"$96,620",Annual,US,Builtin,2023-11-30
senior-marketing-manager,"$117,431",Annual,US,Builtin,2023-11-30
senior-product-designer,"$158,907",Annual,US,Builtin,2023-11-30
senior-product-manager,"$152,493",Annual,US,Builtin,2023-11-30
senior-product-marketing-manager,"$138,883",Annual,US,Builtin,2023-11-30
senior-project-manager,"$130,593",Annual,US,Builtin,2023-11-30
senior-recruiter,"$109,584",Annual,US,Builtin,2023-11-30
senior-software-developer,"$162,281",Annual,US,Builtin,2023-11-30
senior-software-engineer,"$152,999",Annual,US,Builtin,2023-11-30
senior-systems-engineer,"$139,179",Annual,US,Builtin,2023-11-30
senior-technical-writer,"$98,244",Annual,US,Builtin,2023-11-30
senior-ui-designer,#N/A,Annual,US,Builtin,2023-11-30
senior-ux-designer,#N/A,Annual,US,Builtin,2023-11-30
seo-manager,#N/A,Annual,US,Builtin,2023-11-30
